step,portfolio_value,price,position,balance,shares,reward,action
211,99580.45062033001,233.555,매수,0.0023138300177834026,426.3683,0.05465066310938264,1.3632154
212,99554.86852233001,233.495,매수,0.0023138300177834026,426.3683,-0.012844939865524265,0.80514795
213,99548.47299783,233.48,매수,0.0023138300177834026,426.3683,-0.0032120601407736,0.2126638
214,99522.89089983,233.42,매수,0.0023138300177834026,426.3683,-0.012849066002527533,0.6896764
215,99495.17696033,233.355,매수,0.0023138300177834026,426.3683,-0.01392339955633513,1.0851388
216,99539.94563183002,233.46,매수,0.0023138300177834026,426.3683,0.022497910385076352,0.81947255
217,99576.18693733,233.545,매수,0.0023138300177834026,426.3683,0.018204402900733035,1.148388
218,99569.79141283002,233.53,매수,0.0023138300177834026,426.3683,-0.0032113724659926382,0.42453533
219,99552.73668083001,233.49,매수,0.0023138300177834026,426.3683,-0.008564209966702095,0.37107545
220,99548.47299783,233.48,매수,0.0023138300177834026,426.3683,-0.002141419282968326,0.49062997
221,99531.41826583001,233.44,매수,0.0023138300177834026,426.3683,-0.008566044001680147,0.681491
222,99437.61723983001,233.22,매수,0.0023138300177834026,426.3683,-0.04712131487440267,0.8290941
223,99441.88092283001,233.23,매수,0.0023138300177834026,426.3683,0.002143898415080671,0.47578922
224,99418.08957169001,233.1742,매수,0.0023138300177834026,426.3683,-0.011962440231022671,0.45730385
225,99418.08957169001,233.1742,매수,0.0023138300177834026,426.3683,0.0,0.42809466
226,99680.64717083001,233.79,매수,0.0023138300177834026,426.3683,0.13204719597365988,0.6243064
227,99680.64717083001,233.79,매수,0.0023138300177834026,426.3683,0.0,0.235226
228,99680.64717083001,233.79,매수,0.0023138300177834026,426.3683,0.0,0.3270623
229,99753.12978183001,233.96,매수,0.0023138300177834026,426.3683,0.03635741392999822,0.24244988
230,99753.12978183001,233.96,매수,0.0023138300177834026,426.3683,0.0,0.44395515
231,99753.12978183001,233.96,매수,0.0023138300177834026,426.3683,0.0,0.38939124
232,99753.12978183001,233.96,매수,0.0023138300177834026,426.3683,0.0,0.36644825
233,99753.12978183001,233.96,매수,0.0023138300177834026,426.3683,0.0,0.29840136
234,99719.02031783001,233.88,매수,0.0023138300177834026,426.3683,-0.01709693925122677,0.14218411
235,99719.02031783001,233.88,매수,0.0023138300177834026,426.3683,0.0,0.310204
236,99719.02031783001,233.88,매수,0.0023138300177834026,426.3683,0.0,0.45183787
237,99719.02031783001,233.88,매수,0.0023138300177834026,426.3683,0.0,0.23206308
238,99676.38348783001,233.78,매수,0.0023138300177834026,426.3683,-0.021378484196950903,0.3871352
239,99676.38348783001,233.78,매수,0.0023138300177834026,426.3683,0.0,0.42322436
240,99676.38348783001,233.78,매수,0.0023138300177834026,426.3683,0.0,0.3721408
241,99676.38348783001,233.78,매수,0.0023138300177834026,426.3683,0.0,0.35093734
242,99676.38348783001,233.78,매수,0.0023138300177834026,426.3683,0.0,0.7171254
243,99650.80138983001,233.72,매수,0.0023138300177834026,426.3683,-0.01283257733920613,0.45851192
244,99650.80138983001,233.72,매수,0.0023138300177834026,426.3683,0.0,0.42205483
245,99684.91085383002,233.8,매수,0.0023138300177834026,426.3683,0.017114495580709592,0.7823383
246,99684.91085383002,233.8,매도,664.7892338300178,423.5249,0.0,-0.28434625
247,99684.91085383002,233.8,매도,907.8944738300179,422.4851,0.0,-0.10398522
248,99648.05939983002,233.71,매도,3953.022573830018,409.4606,-0.018483967976878322,-1.3024577
249,99648.05939983003,233.71,매도,6487.4439268300175,398.6163,0.001,-1.0844399
250,99648.05939983003,233.71,매도,9298.063757830017,386.59020000000004,0.0,-1.2026125
251,99648.05939983003,233.71,매도,14896.469952830019,362.63570000000004,0.0,-2.3954577
252,99648.05939983003,233.71,매도,18268.01715483002,348.20950000000005,0.0,-1.4426228
253,99648.05939983003,233.71,매도,22308.39563483002,330.92150000000004,0.0,-1.7288021
254,99648.05939983003,233.71,매도,24509.96720583002,321.50140000000005,0.0,-0.9420136
255,99648.05939983003,233.71,매도,27163.55728783002,310.14720000000005,0.0,-1.1354221
256,99648.05939983003,233.71,매도,31246.28401983002,292.67800000000005,0.0,-1.7469229
257,99648.05939983003,233.71,매도,34190.095179830016,280.08200000000005,0.0,-1.2596024
258,99631.69550983002,233.65,매도,35907.980534830014,272.73150000000004,-0.00821084228763,-0.7350573
259,99631.69550983002,233.65,매도,38009.10152483002,263.73890000000006,0.0,-0.8992643
260,99631.69550983002,233.65,매도,40131.92859983002,254.65340000000006,0.0,-0.90855515
